Année,Mois,Jour,Saison,Consommation (MW),Production (MW),Energies renouvelables (MW),Température moyenne (°C),Température référence (°C),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
2013,1,1,0,2556595.0,2976402.0,480755.0,7.3,4.6,172372.0,2323275.0,121486.0,5632.0,319876.0,33761.0
2013,1,4,0,3131399.0,3446203.0,505912.0,8.1,4.6,255009.0,2685282.0,48829.0,6803.0,414300.0,35980.0
2013,1,5,0,2886822.0,3295082.0,473266.0,7.5,4.6,175314.0,2646502.0,43992.0,7199.0,385204.0,36871.0
2013,1,8,0,3431436.0,3760855.0,549772.0,4.5,4.7,466067.0,2745016.0,19945.0,7047.0,487315.0,35465.0
2013,1,9,0,3500917.0,3784440.0,583185.0,4.1,4.7,396450.0,2804805.0,21884.0,6700.0,518757.0,35844.0
2013,1,10,0,3437222.0,3728734.0,550256.0,6.3,4.7,385654.0,2792824.0,56287.0,6694.0,451699.0,35576.0
2013,1,12,0,3163299.0,3575894.0,475472.0,4.3,4.7,313603.0,2786819.0,49431.0,8886.0,379022.0,38133.0
2013,1,14,0,3656247.0,3840186.0,571267.0,1.7,4.8,456999.0,2811920.0,76865.0,8131.0,449942.0,36329.0
2013,1,17,0,4011457.0,3942822.0,604278.0,-1.9,4.9,568480.0,2770064.0,42261.0,12572.0,515224.0,34221.0
2013,1,21,0,3753899.0,3903761.0,608719.0,2.5,5.1,538389.0,2756653.0,84032.0,9240.0,483568.0,31879.0
2013,1,22,0,3778851.0,3906519.0,580196.0,3.1,5.1,568682.0,2757641.0,65399.0,10168.0,472505.0,32124.0
2013,1,24,0,3768075.0,3960426.0,574545.0,1.8,5.2,612458.0,2773423.0,47946.0,9782.0,482896.0,33921.0
2013,1,25,0,3900398.0,4002606.0,604929.0,-0.2,5.2,596044.0,2801633.0,65394.0,14609.0,489929.0,34997.0
2013,1,27,0,3250905.0,3611599.0,569235.0,5.3,5.3,316982.0,2725382.0,168854.0,7117.0,357709.0,35555.0
2013,1,29,0,3424609.0,3878000.0,739619.0,9.1,5.4,417119.0,2721262.0,261683.0,10825.0,432043.0,35068.0
2013,1,31,0,3218224.0,3688046.0,704028.0,9.2,5.5,308128.0,2675890.0,202915.0,13257.0,452062.0,35794.0
2013,2,1,0,3171464.0,3619843.0,673698.0,9.3,5.6,265264.0,2680881.0,151005.0,6368.0,479283.0,37042.0
2013,2,2,0,3068612.0,3515452.0,665523.0,5.5,5.6,209869.0,2640060.0,189291.0,11959.0,428217.0,36056.0
2013,2,3,0,3149656.0,3495764.0,631794.0,3.6,5.7,260393.0,2603577.0,141640.0,15836.0,438286.0,36032.0
2013,2,4,0,3369822.0,3732685.0,731247.0,8.0,5.8,344764.0,2656674.0,196958.0,9290.0,490355.0,34644.0
2013,2,5,0,3437720.0,3819430.0,790301.0,6.2,5.8,386044.0,2643085.0,228487.0,10038.0,516869.0,34907.0
2013,2,6,0,3595412.0,3871572.0,791387.0,4.5,5.9,428970.0,2651215.0,223932.0,11048.0,521783.0,34624.0
2013,2,8,0,3618331.0,3769054.0,605897.0,2.6,6.0,485335.0,2677822.0,54271.0,12424.0,503587.0,35615.0
2013,2,10,0,3334987.0,3613623.0,621398.0,2.4,6.1,339942.0,2652283.0,138447.0,8425.0,437974.0,36552.0
2013,2,11,0,3577092.0,3761865.0,623959.0,3.7,6.1,443171.0,2694735.0,70019.0,8486.0,510386.0,35068.0
2013,2,12,0,3699307.0,3824694.0,610326.0,2.7,6.2,513202.0,2701166.0,43319.0,9420.0,523460.0,34127.0
2013,2,13,0,3710529.0,3802352.0,619860.0,2.1,6.3,494010.0,2688482.0,44167.0,15100.0,526295.0,34298.0
2013,2,15,0,3464408.0,3745589.0,592172.0,5.8,6.4,448991.0,2704426.0,45937.0,18076.0,492872.0,35287.0
2013,2,20,0,3497452.0,3686487.0,614772.0,4.1,6.7,470553.0,2601162.0,89207.0,28246.0,462992.0,34327.0
2013,2,21,0,3687164.0,3840881.0,733999.0,1.6,6.7,507692.0,2599190.0,157226.0,25612.0,516684.0,34477.0
2013,2,23,0,3751480.0,3734486.0,677797.0,-1.6,6.9,554271.0,2502418.0,125992.0,12691.0,502676.0,36438.0
2013,2,24,0,3617198.0,3637718.0,587260.0,-0.4,6.9,538432.0,2512026.0,108712.0,11451.0,431996.0,35101.0
2013,2,26,0,3817397.0,3756811.0,612182.0,1.7,7.0,631159.0,2513470.0,74633.0,17509.0,486220.0,33820.0
2013,2,27,0,3755780.0,3764355.0,605803.0,2.6,7.1,620898.0,2537654.0,73519.0,19044.0,478498.0,34742.0
2013,2,28,0,3679563.0,3668163.0,553679.0,3.1,7.2,547672.0,2566812.0,37102.0,19201.0,462351.0,35025.0
2013,3,2,0,3354872.0,3420421.0,496264.0,3.4,7.3,478738.0,2445419.0,50036.0,18943.0,391569.0,35716.0
2013,3,3,0,3116122.0,3262225.0,439785.0,3.9,7.4,382967.0,2439473.0,59509.0,30177.0,315127.0,34972.0
2013,3,4,0,3324750.0,3447764.0,544270.0,6.9,7.5,447926.0,2455568.0,134344.0,31058.0,346018.0,32850.0
2013,3,7,0,2988996.0,3312679.0,476507.0,11.3,7.7,364826.0,2471346.0,46555.0,18284.0,376834.0,34834.0
2013,3,9,0,2622901.0,2994928.0,477385.0,10.4,7.8,224985.0,2292558.0,40910.0,22945.0,379198.0,34332.0
2013,3,12,0,3463767.0,3629573.0,635253.0,2.9,8.1,492741.0,2501579.0,157794.0,14436.0,430590.0,32433.0
2013,3,13,0,3658086.0,3667711.0,580655.0,1.0,8.2,561543.0,2525513.0,65950.0,14738.0,468392.0,31575.0
