,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Production (MW),Energies renouvelables (MW),Année,Mois,Jour,TMin (°C),TMax (°C),TMoy (°C)
0,11,399184.0,14773.0,0.0,383.0,55.0,471.0,7091.0,22773.0,8000.0,2016,01,01,3.3,8.76,6.03
1,11,404152.0,14500.0,0.0,997.0,90.0,454.0,6736.0,22777.0,8277.0,2016,01,02,6.6,10.86,8.73
2,11,420933.0,14510.0,0.0,965.0,29.0,468.0,6915.0,22887.0,8377.0,2016,01,03,5.3,8.08,6.69
3,11,479017.0,19696.0,0.0,895.0,170.0,508.0,6559.0,27828.0,8132.0,2016,01,04,5.46,9.76,7.61
4,11,499664.0,19413.0,0.0,1047.0,64.0,552.0,7097.0,28173.0,8760.0,2016,01,05,5.12,9.0,7.06
5,11,491334.0,19544.0,0.0,425.0,87.0,589.0,7189.0,27834.0,8290.0,2016,01,06,6.66,9.54,8.1
6,11,489230.0,19868.0,0.0,966.0,150.0,584.0,7074.0,28642.0,8774.0,2016,01,07,6.14,11.72,8.93
7,11,502720.0,20237.0,0.0,73.0,118.0,540.0,6867.0,27835.0,7598.0,2016,01,08,2.16,8.0,5.08
8,11,445516.0,19532.0,0.0,653.0,158.0,601.0,6816.0,27760.0,8228.0,2016,01,09,3.14,11.28,7.21
9,11,444210.0,19479.0,0.0,974.0,48.0,564.0,6920.0,27985.0,8506.0,2016,01,10,4.44,8.14,6.29
10,11,500247.0,19766.0,0.0,1219.0,68.0,558.0,6453.0,28064.0,8298.0,2016,01,11,3.64,8.8,6.22
11,11,513174.0,21400.0,0.0,1248.0,118.0,575.0,6365.0,29706.0,8306.0,2016,01,12,4.78,7.82,6.3
12,11,532880.0,25465.0,0.0,771.0,142.0,543.0,6403.0,33324.0,7859.0,2016,01,13,2.76,6.7,4.73
13,11,534852.0,26121.0,0.0,777.0,143.0,568.0,6371.0,33980.0,7859.0,2016,01,14,2.34,7.88,5.11
14,11,551264.0,25877.0,0.0,656.0,193.0,520.0,6555.0,33801.0,7924.0,2016,01,15,0.86,5.52,3.19
15,11,517930.0,26656.0,0.0,380.0,179.0,540.0,6898.0,34653.0,7997.0,2016,01,16,-1.3,5.48,2.09
16,11,506342.0,26736.0,0.0,88.0,76.0,528.0,7045.0,34473.0,7737.0,2016,01,17,0.08,3.86,1.97
17,11,590668.0,32829.0,0.0,298.0,142.0,523.0,6593.0,40385.0,7556.0,2016,01,18,-1.92,0.4,-0.76
18,11,615331.0,36944.0,0.0,40.0,112.0,529.0,6494.0,44119.0,7175.0,2016,01,19,-3.2,0.58,-1.31
19,11,630629.0,39453.0,0.0,25.0,153.0,512.0,6427.0,46570.0,7117.0,2016,01,20,-5.18,-0.66,-2.92
20,11,630756.0,42275.0,0.0,56.0,269.0,530.0,6301.0,49431.0,7156.0,2016,01,21,-5.56,4.32,-0.62
21,11,604251.0,32705.0,0.0,392.0,81.0,528.0,6395.0,40101.0,7396.0,2016,01,22,-1.82,7.34,2.76
22,11,505895.0,25018.0,0.0,121.0,50.0,525.0,6230.0,31944.0,6926.0,2016,01,23,4.9,7.08,5.99
23,11,461596.0,19983.0,0.0,180.0,89.0,521.0,6487.0,27260.0,7277.0,2016,01,24,4.82,10.88,7.85
24,11,493193.0,20335.0,0.0,312.0,300.0,510.0,6279.0,27736.0,7401.0,2016,01,25,3.84,13.58,8.71
25,11,484495.0,19900.0,0.0,657.0,144.0,531.0,6148.0,27380.0,7480.0,2016,01,26,6.1,11.6,8.85
26,11,479322.0,19559.0,0.0,1062.0,81.0,523.0,6287.0,27512.0,7953.0,2016,01,27,9.34,12.32,10.83
27,11,483956.0,20429.0,0.0,139.0,105.0,463.0,6487.0,27623.0,7194.0,2016,01,28,5.94,9.24,7.59
28,11,503381.0,20594.0,0.0,696.0,143.0,327.0,6855.0,28615.0,8021.0,2016,01,29,1.74,9.26,5.5
29,11,455703.0,14742.0,0.0,945.0,22.0,316.0,7578.0,23603.0,8861.0,2016,01,30,6.62,9.4,8.01
30,11,425552.0,14447.0,0.0,647.0,61.0,337.0,7356.0,22848.0,8401.0,2016,01,31,6.08,13.44,9.76
31,11,455571.0,14632.0,0.0,771.0,73.0,378.0,6892.0,22746.0,8114.0,2016,02,01,10.8,12.62,11.71
32,11,464547.0,14581.0,0.0,682.0,73.0,304.0,6936.0,22576.0,7995.0,2016,02,02,7.92,11.98,9.95
33,11,495403.0,21302.0,0.0,596.0,273.0,302.0,6956.0,29429.0,8127.0,2016,02,03,4.66,8.3,6.48
34,11,511962.0,21246.0,0.0,634.0,56.0,388.0,6756.0,29080.0,7834.0,2016,02,04,3.65,11.1,7.38
35,11,475987.0,21248.0,0.0,189.0,56.0,360.0,6877.0,28730.0,7482.0,2016,02,05,9.25,10.95,10.1
36,11,423449.0,18797.0,0.0,980.0,228.0,319.0,7334.0,27658.0,8861.0,2016,02,06,6.56,14.06,10.31
37,11,405650.0,18738.0,0.0,938.0,256.0,315.0,6978.0,27225.0,8487.0,2016,02,07,6.62,11.48,9.05
38,11,472028.0,19170.0,0.0,1256.0,153.0,327.0,6900.0,27806.0,8636.0,2016,02,08,6.1,11.52,8.81
39,11,493951.0,19222.0,0.0,1153.0,101.0,260.0,6579.0,27315.0,8093.0,2016,02,09,3.9,12.42,8.16
40,11,516384.0,19873.0,0.0,1015.0,325.0,107.0,6669.0,27989.0,8116.0,2016,02,10,2.2,8.16,5.18
41,11,508498.0,25791.0,0.0,226.0,316.0,0.0,6855.0,33188.0,7397.0,2016,02,11,2.42,8.64,5.53
42,11,525896.0,20083.0,0.0,362.0,66.0,0.0,6913.0,27424.0,7341.0,2016,02,12,1.7,4.32,3.01
43,11,472292.0,18865.0,0.0,854.0,82.0,0.0,7157.0,26958.0,8093.0,2016,02,13,3.0,9.16,6.08
44,11,453250.0,18756.0,0.0,331.0,111.0,0.0,7319.0,26517.0,7761.0,2016,02,14,4.28,8.1,6.19
45,11,530219.0,24509.0,0.0,767.0,291.0,0.0,6479.0,32046.0,7537.0,2016,02,15,2.3,7.08,4.69
46,11,551416.0,21617.0,0.0,325.0,475.0,0.0,6695.0,29112.0,7495.0,2016,02,16,-0.98,5.9,2.46
47,11,579306.0,34829.0,0.0,52.0,260.0,0.0,6972.0,42113.0,7284.0,2016,02,17,-3.94,4.42,0.24
48,11,589076.0,84627.0,0.0,150.0,117.0,0.0,6772.0,91666.0,7039.0,2016,02,18,-2.44,4.0,0.78
49,11,539673.0,24485.0,0.0,435.0,397.0,0.0,6723.0,32040.0,7555.0,2016,02,19,-0.56,9.32,4.38
50,11,454663.0,18640.0,0.0,1338.0,93.0,0.0,7231.0,27302.0,8662.0,2016,02,20,4.9,12.2,8.55
51,11,400545.0,18659.0,0.0,1042.0,119.0,0.0,7247.0,27067.0,8408.0,2016,02,21,9.98,12.52,11.25
52,11,451840.0,19114.0,0.0,792.0,143.0,0.0,7116.0,27165.0,8051.0,2016,02,22,9.18,11.92,10.55
53,11,473134.0,19945.0,0.0,372.0,311.0,0.0,7043.0,27671.0,7726.0,2016,02,23,4.44,9.44,6.94
54,11,508982.0,25764.0,0.0,235.0,178.0,0.0,7160.0,33337.0,7573.0,2016,02,24,-0.48,6.96,3.24
55,11,511146.0,24304.0,0.0,130.0,363.0,0.0,6923.0,31720.0,7416.0,2016,02,25,-0.4,7.46,3.53
56,11,517493.0,24667.0,0.0,154.0,298.0,0.0,6947.0,32066.0,7399.0,2016,02,26,-1.84,6.92,2.54
57,11,473889.0,19119.0,0.0,921.0,452.0,0.0,6740.0,27232.0,8113.0,2016,02,27,-0.24,7.76,3.76
58,11,468790.0,19148.0,0.0,1095.0,340.0,0.0,6127.0,26710.0,7562.0,2016,02,28,0.0,6.52,3.26
59,11,524303.0,24875.0,0.0,851.0,553.0,38.0,6053.0,32370.0,7495.0,2016,02,29,-0.1,7.9,3.9
60,11,534162.0,19886.0,0.0,587.0,101.0,91.0,6898.0,27563.0,7677.0,2016,03,01,-0.84,9.72,4.44
61,11,495382.0,18521.0,0.0,1067.0,328.0,156.0,6990.0,27062.0,8541.0,2016,03,02,1.3,10.64,5.97
62,11,504470.0,21591.0,0.0,914.0,272.0,206.0,7074.0,30057.0,8466.0,2016,03,03,3.76,8.62,6.19
63,11,494425.0,19115.0,0.0,454.0,199.0,171.0,7463.0,27402.0,8287.0,2016,03,04,3.42,8.46,5.94
64,11,471116.0,19004.0,0.0,347.0,214.0,92.0,7394.0,27051.0,8047.0,2016,03,05,1.02,7.26,4.14
65,11,458985.0,18639.0,0.0,265.0,319.0,0.0,7095.0,26318.0,7679.0,2016,03,06,1.46,8.08,4.77
66,11,525442.0,26201.0,0.0,393.0,262.0,0.0,7046.0,33902.0,7701.0,2016,03,07,0.98,6.3,3.64
67,11,524598.0,27230.0,0.0,209.0,333.0,0.0,6994.0,34766.0,7536.0,2016,03,08,0.38,8.92,4.65
68,11,511141.0,23687.0,0.0,920.0,180.0,0.0,6829.0,31616.0,7929.0,2016,03,09,4.04,9.08,6.56
69,11,509340.0,23814.0,0.0,65.0,210.0,0.0,6588.0,30677.0,6863.0,2016,03,10,3.66,9.22,6.44
70,11,479005.0,24063.0,0.0,154.0,497.0,0.0,7160.0,31874.0,7811.0,2016,03,11,3.34,11.14,7.24
71,11,433150.0,20132.0,0.0,300.0,582.0,0.0,6911.0,27925.0,7793.0,2016,03,12,1.08,11.48,6.28
72,11,422720.0,19369.0,0.0,760.0,612.0,0.0,6565.0,27306.0,7937.0,2016,03,13,0.64,11.04,5.84
73,11,488006.0,20120.0,0.0,890.0,420.0,23.0,6403.0,27856.0,7736.0,2016,03,14,2.04,8.88,5.46
74,11,485424.0,19961.0,0.0,477.0,543.0,46.0,6446.0,27473.0,7512.0,2016,03,15,0.64,12.66,6.65
75,11,492967.0,23920.0,0.0,907.0,293.0,58.0,6815.0,31993.0,8073.0,2016,03,16,2.82,7.74,5.28
76,11,482109.0,25943.0,0.0,308.0,628.0,160.0,6700.0,33739.0,7796.0,2016,03,17,1.24,12.82,7.03
77,11,473649.0,19979.0,0.0,303.0,550.0,267.0,6887.0,27986.0,8007.0,2016,03,18,0.74,11.14,5.94
78,11,454714.0,20117.0,0.0,330.0,102.0,303.0,7277.0,28129.0,8012.0,2016,03,19,3.38,6.7,5.04
79,11,441933.0,19187.0,0.0,423.0,177.0,367.0,7246.0,27400.0,8213.0,2016,03,20,4.4,6.7,5.55
80,11,480884.0,20159.0,0.0,321.0,314.0,426.0,6885.0,28105.0,7946.0,2016,03,21,3.64,10.36,7.0
81,11,460045.0,19729.0,0.0,379.0,563.0,498.0,7235.0,28404.0,8675.0,2016,03,22,4.7,12.82,8.76
82,11,474039.0,19771.0,0.0,444.0,225.0,476.0,7067.0,27983.0,8212.0,2016,03,23,3.54,10.3,6.92
83,11,463029.0,19739.0,0.0,163.0,270.0,506.0,7276.0,27954.0,8215.0,2016,03,24,5.8,10.94,8.37
84,11,448279.0,21928.0,0.0,431.0,202.0,529.0,6966.0,30056.0,8128.0,2016,03,25,6.7,14.3,10.5
85,11,392766.0,14301.0,0.0,657.0,345.0,550.0,6872.0,22725.0,8424.0,2016,03,26,5.32,15.22,10.27
86,11,364219.0,14223.0,0.0,1003.0,544.0,528.0,6942.0,23240.0,9017.0,2016,03,27,6.38,14.04,10.21
87,11,384693.0,14003.0,0.0,1376.0,469.0,514.0,6510.0,22872.0,8869.0,2016,03,28,6.94,14.44,10.69
88,11,441602.0,18031.0,0.0,771.0,447.0,480.0,6361.0,26090.0,8059.0,2016,03,29,5.56,14.32,9.94
89,11,452432.0,19648.0,0.0,227.0,181.0,458.0,6242.0,26756.0,7108.0,2016,03,30,7.2,9.86,8.53
90,11,472445.0,26996.0,0.0,753.0,74.0,479.0,5749.0,34051.0,7055.0,2016,03,31,5.62,6.96,6.29
